Noise Type      | Noise Level | Method                  | Accuracy Mean | Accuracy Std
----------------+-------------+-------------------------+---------------+-------------
dense_junk      | 0 (0%)      | No selection            | 0.8093        | 0.0054      
dense_junk      | 0.25 (25%)  | No selection            | 0.4857        | 0.1159      
dense_junk      | 0.5 (50%)   | No selection            | 0.2713        | 0.2192      
dense_junk      | 0.75 (75%)  | No selection            | 0.3530        | 0.1903      
dense_junk      | 1 (100%)    | No selection            | 0.1483        | 0.0728      
dense_junk      | 1.25 (125%) | No selection            | 0.0860        | 0.0163      
dense_junk      | 1.5 (150%)  | No selection            | 0.1953        | 0.1042      
dense_junk      | 0 (0%)      | Raw l1                  | 0.7897        | 0.0058      
dense_junk      | 0.25 (25%)  | Raw l1                  | 0.6690        | 0.0059      
dense_junk      | 0.5 (50%)   | Raw l1                  | 0.5160        | 0.0827      
dense_junk      | 0.75 (75%)  | Raw l1                  | 0.5347        | 0.0974      
dense_junk      | 1 (100%)    | Raw l1                  | 0.5800        | 0.0177      
dense_junk      | 1.25 (125%) | Raw l1                  | 0.5963        | 0.0396      
dense_junk      | 1.5 (150%)  | Raw l1                  | 0.4993        | 0.0358      
dense_junk      | 0 (0%)      | Graph-aware l1          | 0.7880        | 0.0065      
dense_junk      | 0.25 (25%)  | Graph-aware l1          | 0.7367        | 0.0109      
dense_junk      | 0.5 (50%)   | Graph-aware l1          | 0.7163        | 0.0090      
dense_junk      | 0.75 (75%)  | Graph-aware l1          | 0.7140        | 0.0116      
dense_junk      | 1 (100%)    | Graph-aware l1          | 0.6880        | 0.0150      
dense_junk      | 1.25 (125%) | Graph-aware l1          | 0.6100        | 0.0832      
dense_junk      | 1.5 (150%)  | Graph-aware l1          | 0.6457        | 0.0167      
dense_junk      | 0 (0%)      | Raw mutual_info         | 0.7680        | 0.0135      
dense_junk      | 0.25 (25%)  | Raw mutual_info         | 0.7173        | 0.0278      
dense_junk      | 0.5 (50%)   | Raw mutual_info         | 0.6920        | 0.0241      
dense_junk      | 0.75 (75%)  | Raw mutual_info         | 0.6800        | 0.0164      
dense_junk      | 1 (100%)    | Raw mutual_info         | 0.6500        | 0.0193      
dense_junk      | 1.25 (125%) | Raw mutual_info         | 0.6360        | 0.0262      
dense_junk      | 1.5 (150%)  | Raw mutual_info         | 0.6120        | 0.0318      
dense_junk      | 0 (0%)      | Graph-aware mutual_info | 0.7933        | 0.0093      
dense_junk      | 0.25 (25%)  | Graph-aware mutual_info | 0.7670        | 0.0161      
dense_junk      | 0.5 (50%)   | Graph-aware mutual_info | 0.7643        | 0.0160      
dense_junk      | 0.75 (75%)  | Graph-aware mutual_info | 0.7420        | 0.0254      
dense_junk      | 1 (100%)    | Graph-aware mutual_info | 0.7463        | 0.0054      
dense_junk      | 1.25 (125%) | Graph-aware mutual_info | 0.7053        | 0.0355      
dense_junk      | 1.5 (150%)  | Graph-aware mutual_info | 0.7387        | 0.0299      
dense_junk      | 0 (0%)      | PCA                     | 0.7840        | 0.0070      
dense_junk      | 0.25 (25%)  | PCA                     | 0.6410        | 0.0158      
dense_junk      | 0.5 (50%)   | PCA                     | 0.5890        | 0.0102      
dense_junk      | 0.75 (75%)  | PCA                     | 0.5783        | 0.0236      
dense_junk      | 1 (100%)    | PCA                     | 0.5653        | 0.0045      
dense_junk      | 1.25 (125%) | PCA                     | 0.5377        | 0.0062      
dense_junk      | 1.5 (150%)  | PCA                     | 0.5457        | 0.0168      
dense_junk      | 0 (0%)      | Autoencoder             | 0.7517        | 0.0100      
dense_junk      | 0.25 (25%)  | Autoencoder             | 0.7570        | 0.0094      
dense_junk      | 0.5 (50%)   | Autoencoder             | 0.7713        | 0.0192      
dense_junk      | 0.75 (75%)  | Autoencoder             | 0.7427        | 0.0040      
dense_junk      | 1 (100%)    | Autoencoder             | 0.7597        | 0.0116      
dense_junk      | 1.25 (125%) | Autoencoder             | 0.7563        | 0.0105      
dense_junk      | 1.5 (150%)  | Autoencoder             | 0.7327        | 0.0110      
dense_junk      | 0 (0%)      | Learned mask            | 0.7660        | 0.0168      
dense_junk      | 0.25 (25%)  | Learned mask            | 0.7227        | 0.0039      
dense_junk      | 0.5 (50%)   | Learned mask            | 0.7237        | 0.0094      
dense_junk      | 0.75 (75%)  | Learned mask            | 0.6480        | 0.0829      
dense_junk      | 1 (100%)    | Learned mask            | 0.6480        | 0.0340      
dense_junk      | 1.25 (125%) | Learned mask            | 0.6373        | 0.0506      
dense_junk      | 1.5 (150%)  | Learned mask            | 0.4763        | 0.1516      
----------------+-------------+-------------------------+---------------+-------------
feature_dropout | 0 (0%)      | No selection            | 0.8093        | 0.0054      
feature_dropout | 0.05 (5%)   | No selection            | 0.7950        | 0.0102      
feature_dropout | 0.1 (10%)   | No selection            | 0.7953        | 0.0021      
feature_dropout | 0.2 (20%)   | No selection            | 0.7910        | 0.0037      
feature_dropout | 0.3 (30%)   | No selection            | 0.7907        | 0.0031      
feature_dropout | 0 (0%)      | Raw l1                  | 0.7897        | 0.0058      
feature_dropout | 0.05 (5%)   | Raw l1                  | 0.7813        | 0.0074      
feature_dropout | 0.1 (10%)   | Raw l1                  | 0.7843        | 0.0073      
feature_dropout | 0.2 (20%)   | Raw l1                  | 0.7617        | 0.0046      
feature_dropout | 0.3 (30%)   | Raw l1                  | 0.7593        | 0.0119      
feature_dropout | 0 (0%)      | Graph-aware l1          | 0.7880        | 0.0065      
feature_dropout | 0.05 (5%)   | Graph-aware l1          | 0.7760        | 0.0059      
feature_dropout | 0.1 (10%)   | Graph-aware l1          | 0.7757        | 0.0083      
feature_dropout | 0.2 (20%)   | Graph-aware l1          | 0.7710        | 0.0110      
