noise_type,noise_level,noise_percent,method,accuracy_mean,accuracy_std
dense_junk,0.0,0.0,No selection,0.8093333333333333,0.00543650214343333
dense_junk,0.25,25.0,No selection,0.48566666666666664,0.11585143743413612
dense_junk,0.5,50.0,No selection,0.2713333333333333,0.21924466292756642
dense_junk,0.75,75.0,No selection,0.353,0.19029100521744757
dense_junk,1.0,100.0,No selection,0.14833333333333334,0.07276140613142536
dense_junk,1.25,125.0,No selection,0.08600000000000001,0.01630950643030009
dense_junk,1.5,150.0,No selection,0.19533333333333336,0.10424437101776235
dense_junk,0.0,0.0,Raw l1,0.7896666666666667,0.005792715732327594
dense_junk,0.25,25.0,Raw l1,0.669,0.005887840577551903
dense_junk,0.5,50.0,Raw l1,0.516,0.08270832283795063
dense_junk,0.75,75.0,Raw l1,0.5346666666666666,0.09735273779178247
dense_junk,1.0,100.0,Raw l1,0.58,0.017720045146669364
dense_junk,1.25,125.0,Raw l1,0.5963333333333334,0.03960078562632592
dense_junk,1.5,150.0,Raw l1,0.49933333333333324,0.035836046408919395
dense_junk,0.0,0.0,Graph-aware l1,0.7879999999999999,0.0065319726474218145
dense_junk,0.25,25.0,Graph-aware l1,0.7366666666666667,0.010873004286866737
dense_junk,0.5,50.0,Graph-aware l1,0.7163333333333334,0.008993825042154702
dense_junk,0.75,75.0,Graph-aware l1,0.714,0.011575836902790236
dense_junk,1.0,100.0,Graph-aware l1,0.6880000000000001,0.01496662954709573
dense_junk,1.25,125.0,Graph-aware l1,0.61,0.08319054433447752
dense_junk,1.5,150.0,Graph-aware l1,0.6456666666666667,0.01665999866613308
dense_junk,0.0,0.0,Raw mutual_info,0.7680000000000001,0.013490737563232054
dense_junk,0.25,25.0,Raw mutual_info,0.7173333333333334,0.02777688887466619
dense_junk,0.5,50.0,Raw mutual_info,0.6920000000000001,0.024097026095903726
dense_junk,0.75,75.0,Raw mutual_info,0.68,0.016391054470858965
dense_junk,1.0,100.0,Raw mutual_info,0.65,0.019304576314093696
dense_junk,1.25,125.0,Raw mutual_info,0.636,0.02616613587572051
dense_junk,1.5,150.0,Raw mutual_info,0.612,0.031822423959633694
dense_junk,0.0,0.0,Graph-aware mutual_info,0.7933333333333333,0.009285592184789422
dense_junk,0.25,25.0,Graph-aware mutual_info,0.767,0.016083117442419772
dense_junk,0.5,50.0,Graph-aware mutual_info,0.7643333333333334,0.015965240019770743
dense_junk,0.75,75.0,Graph-aware mutual_info,0.742,0.02535087112244208
dense_junk,1.0,100.0,Graph-aware mutual_info,0.7463333333333333,0.005436502143433369
dense_junk,1.25,125.0,Graph-aware mutual_info,0.7053333333333333,0.03553714801287362
dense_junk,1.5,150.0,Graph-aware mutual_info,0.7386666666666667,0.02989239962859384
dense_junk,0.0,0.0,PCA,0.7840000000000001,0.006976149845485456
dense_junk,0.25,25.0,PCA,0.641,0.01576916823001984
dense_junk,0.5,50.0,PCA,0.589,0.010230672835481881
dense_junk,0.75,75.0,PCA,0.5783333333333333,0.023612614331233104
dense_junk,1.0,100.0,PCA,0.5653333333333334,0.004496912521077299
dense_junk,1.25,125.0,PCA,0.5376666666666666,0.006182412330330475
dense_junk,1.5,150.0,PCA,0.5456666666666666,0.016779617264870973
dense_junk,0.0,0.0,Autoencoder,0.7516666666666666,0.009977753031397186
dense_junk,0.25,25.0,Autoencoder,0.757,0.009416297927883698
dense_junk,0.5,50.0,Autoencoder,0.7713333333333333,0.01915434386474487
dense_junk,0.75,75.0,Autoencoder,0.7426666666666666,0.004027681991198194
dense_junk,1.0,100.0,Autoencoder,0.7596666666666666,0.01161416759345624
dense_junk,1.25,125.0,Autoencoder,0.7563333333333334,0.010498677165349092
dense_junk,1.5,150.0,Autoencoder,0.7326666666666667,0.011025223605694162
dense_junk,0.0,0.0,Learned mask,0.766,0.016753109164172098
dense_junk,0.25,25.0,Learned mask,0.7226666666666667,0.0038586123009300786
dense_junk,0.5,50.0,Learned mask,0.7236666666666668,0.009392668535736922
dense_junk,0.75,75.0,Learned mask,0.648,0.08289752710425081
dense_junk,1.0,100.0,Learned mask,0.648,0.03402939905434709
dense_junk,1.25,125.0,Learned mask,0.6373333333333333,0.05060522590492896
dense_junk,1.5,150.0,Learned mask,0.47633333333333333,0.1516274674618319
