noise_type,noise_level,noise_percent,method,accuracy_mean,accuracy_std
feature_dropout,0.0,0.0,No selection,0.8093333333333333,0.00543650214343333
feature_dropout,0.05,5.0,No selection,0.795,0.01019803902718558
feature_dropout,0.1,10.0,No selection,0.7953333333333333,0.0020548046676563273
feature_dropout,0.2,20.0,No selection,0.791,0.003741657386773945
feature_dropout,0.3,30.0,No selection,0.7906666666666667,0.0030912061651652374
feature_dropout,0.0,0.0,Raw l1,0.7896666666666667,0.005792715732327594
feature_dropout,0.05,5.0,Raw l1,0.7813333333333333,0.007408703590297629
feature_dropout,0.1,10.0,Raw l1,0.7843333333333334,0.007318166133366723
feature_dropout,0.2,20.0,Raw l1,0.7616666666666667,0.004642796092394711
feature_dropout,0.3,30.0,Raw l1,0.7593333333333333,0.011897712198383176
feature_dropout,0.0,0.0,Graph-aware l1,0.7879999999999999,0.0065319726474218145
feature_dropout,0.05,5.0,Graph-aware l1,0.7760000000000001,0.005887840577551903
feature_dropout,0.1,10.0,Graph-aware l1,0.7756666666666666,0.008259674462242586
feature_dropout,0.2,20.0,Graph-aware l1,0.771,0.01104536101718727
feature_dropout,0.3,30.0,Graph-aware l1,0.7616666666666667,0.009463379711052268
feature_dropout,0.0,0.0,Raw mutual_info,0.7680000000000001,0.013490737563232054
feature_dropout,0.05,5.0,Raw mutual_info,0.7613333333333334,0.005436502143433369
feature_dropout,0.1,10.0,Raw mutual_info,0.7536666666666667,0.02049932248202908
feature_dropout,0.2,20.0,Raw mutual_info,0.7473333333333333,0.0036817870057290905
feature_dropout,0.3,30.0,Raw mutual_info,0.7303333333333333,0.009843215373488944
feature_dropout,0.0,0.0,Graph-aware mutual_info,0.7933333333333333,0.009285592184789422
feature_dropout,0.05,5.0,Graph-aware mutual_info,0.7879999999999999,0.005887840577551903
feature_dropout,0.1,10.0,Graph-aware mutual_info,0.7853333333333333,0.007845734863959886
feature_dropout,0.2,20.0,Graph-aware mutual_info,0.777,0.016083117442419772
feature_dropout,0.3,30.0,Graph-aware mutual_info,0.7693333333333333,0.007133644853010906
feature_dropout,0.0,0.0,PCA,0.7840000000000001,0.006976149845485456
feature_dropout,0.05,5.0,PCA,0.7823333333333333,0.006798692684790385
feature_dropout,0.1,10.0,PCA,0.7799999999999999,0.0094162979278837
feature_dropout,0.2,20.0,PCA,0.7763333333333332,0.005436502143433369
feature_dropout,0.3,30.0,PCA,0.7703333333333333,0.0016996731711975963
feature_dropout,0.0,0.0,Autoencoder,0.7516666666666666,0.009977753031397186
feature_dropout,0.05,5.0,Autoencoder,0.73,0.012569805089976547
feature_dropout,0.1,10.0,Autoencoder,0.7239999999999999,0.00509901951359279
feature_dropout,0.2,20.0,Autoencoder,0.669,0.019200694431886243
feature_dropout,0.3,30.0,Autoencoder,0.5563333333333333,0.039160637833870304
feature_dropout,0.0,0.0,Learned mask,0.766,0.016753109164172098
feature_dropout,0.05,5.0,Learned mask,0.7456666666666667,0.035836046408919395
feature_dropout,0.1,10.0,Learned mask,0.7486666666666667,0.036590830666833614
feature_dropout,0.2,20.0,Learned mask,0.731,0.03608323710533741
feature_dropout,0.3,30.0,Learned mask,0.7183333333333333,0.0316684210040363
