scenario,method,num_synthetic_seeds,accuracy_mean,accuracy_std,signal_selected_mean,junk_selected_mean,spurious_selected_mean,signal_recall_mean,signal_precision_mean,k,requested_k,num_features,num_signal_features,num_junk_features,num_spurious_features,p_in,p_out
weak_features_strong_graph,No selection,3,0.4444444444444444,0.15713484026367722,,,,,,256,256,509,9,500,0,0.1,0.005
weak_features_strong_graph,Raw l1,3,1.0,0.0,8.0,248.0,0.0,0.8888888888888888,0.03125,256,256,509,9,500,0,0.1,0.005
weak_features_strong_graph,Graph-aware l1,3,1.0,0.0,8.666666666666666,247.33333333333334,0.0,0.9629629629629629,0.033854166666666664,256,256,509,9,500,0,0.1,0.005
weak_features_strong_graph,Raw mutual_info,3,1.0,0.0,3.6666666666666665,252.33333333333334,0.0,0.4074074074074074,0.014322916666666666,256,256,509,9,500,0,0.1,0.005
weak_features_strong_graph,Graph-aware mutual_info,3,1.0,0.0,6.333333333333333,249.66666666666666,0.0,0.7037037037037037,0.024739583333333332,256,256,509,9,500,0,0.1,0.005
weak_features_strong_graph,PCA,3,1.0,0.0,,,,,,256,256,509,9,500,0,0.1,0.005
weak_features_strong_graph,Autoencoder,3,0.9977777777777778,0.003142696805273565,,,,,,256,256,509,9,500,0,0.1,0.005
weak_features_strong_graph,Learned mask,3,0.4466666666666666,0.1602775370689508,,,,,,256,256,509,9,500,0,0.1,0.005
weak_graph_strong_features,No selection,3,0.3333333333333333,0.0,,,,,,256,256,509,9,500,0,0.04,0.03
weak_graph_strong_features,Raw l1,3,0.4155555555555555,0.013698697784375501,9.0,247.0,0.0,1.0,0.03515625,256,256,509,9,500,0,0.04,0.03
weak_graph_strong_features,Graph-aware l1,3,0.45999999999999996,0.01088662107903635,9.0,247.0,0.0,1.0,0.03515625,256,256,509,9,500,0,0.04,0.03
weak_graph_strong_features,Raw mutual_info,3,0.4155555555555555,0.02266230894930127,8.0,248.0,0.0,0.8888888888888888,0.03125,256,256,509,9,500,0,0.04,0.03
